순위,위치,학교명,위도,경도
261,강서구 내발산동,수명중학교,37.54856699,126.8240596
262,은평구 불광동,연천중학교,37.62754521,126.9258199
263,금천구 시흥동,시흥중학교,37.44629507,126.9050823
264,강서구 마곡동,마곡중학교,37.567907,126.8214009
265,강북구 미아동,미양중학교,,
266,송파구 방이동,방이중학교,37.51501058,127.1132445
267,중랑구 상봉동,신현중학교,37.604413,127.0915328
268,관악구 신림동,성보중학교,37.48072837,126.9209573
269,동대문구 제기동,성일중학교,37.58185023,127.033829
270,은평구 구산동,은평중학교,37.610619,126.9083472
271,도봉구 쌍문동,신도봉중학교,37.64959473,127.033202
272,중구 만리동2가,환일중학교,37.553608,126.962807
273,동대문구 답십리동,숭인중학교,37.57392046,127.044089
274,강서구 화곡동,신정여자중학교,37.53838143,126.8570622
275,서대문구 연희동,신연중학교,37.58271543,126.9398364
276,노원구 중계동,상계제일중학교,37.6610756,127.0780785
277,서대문구 홍제동,인왕중학교,37.592735,126.9517793
278,도봉구 도봉동,북서울중학교,37.68154186,127.0428342
279,마포구 성산동,성서중학교,37.5627873,126.9079522
280,종로구 혜화동,경신중학교,37.59220227,126.999531
281,동작구 사당동,사당중학교,37.48776119,126.9685407
282,광진구 화양동,구의중학교,37.5428503,127.0788404
283,광진구 광장동,광장중학교,37.54717752,127.1019276
284,종로구 계동,중앙중학교,37.58378822,126.9874726
285,서대문구 홍은동,홍은중학교,37.59189151,126.9357524
286,강북구 우이동,서라벌중학교,37.65698403,127.0114883
287,성동구 사근동,한양대학교사범대학부속중학교,37.56191884,127.042324
288,강서구 가양동,경서중학교,37.56124186,126.857764
289,동작구 대방동,강남중학교,37.50276263,126.9233466
290,양천구 목동,양동중학교,37.54836875,126.8687172
291,노원구 월계동,신창중학교,37.6285588,127.0474776
292,강서구 가양동,공진중학교,,
293,구로구 궁동,우신중학교,37.49490231,126.8263536
294,은평구 증산동,연서중학교,37.587044,126.9092766
295,도봉구 쌍문동,효문중학교,37.65269871,127.0184005
296,용산구 보광동,오산중학교,37.52358051,127.0008872
297,구로구 구로동,구로중학교,37.49485972,126.8910999
298,송파구 삼전동,배명중학교,37.4976895,127.0958118
299,강서구 등촌동,등촌중학교,37.55248221,126.8592148
300,강동구 천호동,천일중학교,37.54590987,127.1276362
301,은평구 신사동,덕산중학교,37.6022574,126.9046771
302,구로구 구로동,영림중학교,37.49721962,126.8906895
303,강동구 고덕동,고덕중학교,37.56036661,127.1616435
304,구로구 천왕동,천왕중학교,37.48265442,126.8373336
305,양천구 신월동,양천중학교,37.51900116,126.8305508
306,은평구 갈현동,선정중학교,37.61870451,126.9090316
307,관악구 난곡동,난우중학교,37.46680396,126.9228283
308,광진구 자양동,건국대학교사범대학부속중학교,37.54172407,127.0815971
309,성동구 행당동,행당중학교,37.55455404,127.0419634
310,성동구 성수동2가,경수중학교,37.53950904,127.0592712
311,성북구 정릉동,고려대학교사범대학부속중학교,37.60783857,127.0028302
312,동대문구 장안동,동국대학교사범대학부속중학교,37.57804718,127.075171
313,강동구 천호동,동신중학교,37.53676952,127.1343666
314,동대문구 청량리동,청량중학교,37.58821921,127.0506226
315,관악구 신림동,남서울중학교,37.48213625,126.9210371
316,중랑구 망우동,영란여자중학교,37.6031324,127.1053324
317,영등포구 대림동,영남중학교,37.49787218,126.8958365
318,성북구 하월곡동,숭곡중학교,37.60847848,127.0312998
319,강북구 번동,번동중학교,37.63244533,127.0362077
320,관악구 신림동,남강중학교,37.47137567,126.9249091
321,은평구 구산동,구산중학교,37.60987202,126.9094887
322,광진구 자양동,신양중학교,37.53365227,127.063431
323,도봉구 도봉2동,도봉중학교,37.67088384,127.0458717
324,도봉구 쌍문동,백운중학교,37.65640592,127.035904
325,구로구 개봉동,개봉중학교,37.50352932,126.8423998
326,동작구 사당4동,남성중학교,37.47900822,126.972489
327,중랑구 망우동,송곡여자중학교,37.60668904,127.1051455
328,양천구 신월2동,신남중학교,37.52077389,126.847893
329,은평구 응암동,영락중학교,37.5969603,126.925133
330,은평구 신사동,상신중학교,37.58978547,126.9064249
331,동대문구 장안동,장평중학교,37.56685961,127.0704776
332,강북구 수유동,화계중학교,37.63251806,127.0097091
333,은평구 불광동,연신중학교,37.62353926,126.9242879
334,강동구 천호동,천호중학교,37.54651926,127.139698
335,관악구 봉천동,봉림중학교,37.48119817,126.9377027
336,광진구 중곡동,용곡중학교,37.56595126,127.0890896
337,동대문구 휘경동,휘경중학교,37.58709299,127.0617461
338,성동구 성수동2가,성원중학교,37.53945182,127.0513835
339,금천구 독산동,가산중학교,37.46877706,126.8944749
340,동작구 상도동,강현중학교,37.50311599,126.9307563
341,강서구 공항동,송정중학교,37.55315807,126.8152436
342,강서구 방화동,방화중학교,37.56433471,126.8071069
343,관악구 봉천동,당곡중학교,37.4923589,126.9326777
344,중랑구 면목동,면목중학교,37.58321586,127.0963033
345,금천구 시흥동,문일중학교,37.44891526,126.8987207
346,중랑구 면목동,용마중학교,37.5745074,127.0862687
347,강북구 수유동,인수중학교,37.64386667,127.0099213
348,양천구 신월동,양강중학교,37.52491016,126.849688
349,구로구 고척동,오류중학교,37.50786222,126.8462113
350,성북구 석관동,석관중학교,37.60814014,127.0667131
351,중랑구 중화동,중랑중학교,37.60535089,127.0807928
352,동대문구 전농1동,동대문중학교,37.57452207,127.0519943
353,금천구 독산동,세일중학교,37.47459441,126.8953689
354,성북구 안암동2가,용문중학교,37.58869033,127.0246608
355,중랑구 중화1동,장안중학교,37.60077444,127.0809965
356,관악구 신림동,신림중학교,37.47032734,126.946004
357,성북구 성북동,홍익대학교사범대학부속중학교,37.59366662,127.002805
358,강북구 수유동,수유중학교,37.6315652,127.0104839
359,관악구 신림동,신관중학교,37.48020125,126.9344522
360,은평구 증산동,증산중학교,37.58344275,126.904157
361,금천구 독산동,난곡중학교,37.47804558,126.9107916
362,구로구 구로동,영서중학교,37.48911393,126.8956154
363,양천구 신월동,신화중학교,,
364,강서구 화곡동,화원중학교,37.53621409,126.842416
365,금천구 독산동,문성중학교,37.4754682,126.9084938
366,노원구 월계동,월계중학교,37.63113114,127.0523203
367,중랑구 면목동,중화중학교,37.58450379,127.0945608
368,영등포구 대림동,대림중학교,37.49231887,126.9074673
369,강북구 번동,수송중학교,37.63680065,127.0339176
370,영등포구 신길동,대영중학교,37.50343784,126.905208
371,금천구 시흥동,한울중학교,37.46240099,126.9071815
372,중구 인현동2가,덕수중학교,37.56557957,126.9969973
373,성북구 장위동,남대문중학교,37.61865113,127.0551517
374,도봉구 방학동,방학중학교,37.66545122,127.030859
375,종로구 혜화동,동성중학교,37.58496996,127.0030977
376,구로구 개봉동,개웅중학교,37.4875269,126.8510711
377,중랑구 망우동,봉화중학교,37.59582753,127.1043156
378,은평구 응암동,충암중학교,37.58464029,126.9218095
379,중랑구 망우동,동원중학교,37.603807,127.1094981
380,양천구 신월동,신원중학교,37.5370925,126.8248419
381,양천구 신월동,양서중학교,37.53262929,126.8291351
382,송파구 방이동,서울체육중학교,37.52233038,127.1298226
